cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
27.77,211.0,0.0,0.0,0.0,0.4,110375.47,959452.48,1277.12,1174.41,0,0
24.17,220.0,0.0,0.0,0.0,0.4,129381.55,1016537.35,1327.3,1300.95,0,0
24.3,220.0,0.0,0.0,0.1,17.02,121808.85,971266.52,1192.07,1296.36,0,0
24.92,220.0,0.0,0.0,0.0,0.7,125396.82,973582.5,1298.19,1205.8,0,0
25.62,220.0,0.0,0.0,0.0,0.82,123513.32,970860.95,1352.03,1282.98,0,0
26.0,220.0,0.0,0.0,0.0,0.52,122418.73,956159.99,1288.14,1227.68,0,0
29.28,220.0,0.0,0.0,0.0,0.39,122836.74,931937.64,1248.26,1217.85,0,0
24.86,220.0,0.0,0.0,0.0,0.4,130060.57,930303.13,1233.05,1190.91,0,0
27.44,211.0,0.0,0.0,0.0,18.42,130244.13,1008486.82,1294.67,1353.18,0,0
29.46,211.0,0.0,0.0,0.0,0.36,124685.78,977775.23,1248.46,1258.72,0,0
26.0,211.0,0.0,0.0,0.0,0.81,126358.33,925689.32,1353.7,1269.18,0,0
26.58,211.5,0.0,0.0,0.0,0.49,116955.47,947558.92,1295.63,1169.22,0,0
27.66,212.0,0.0,0.0,0.0,0.4,125985.59,938972.2,1223.83,1219.05,0,0
23.76,219.0,0.0,0.0,0.0,0.42,128564.36,1051107.02,1265.83,1212.24,0,0
24.38,219.0,0.0,0.0,0.0,16.0,112616.13,872914.22,1346.33,1300.13,0,0
30.39,221.0,0.0,0.0,0.0,0.41,125067.97,1001172.61,1303.23,1183.45,0,0
23.25,221.0,0.0,0.0,0.0,0.95,123110.99,896476.16,1280.28,1220.23,0,0
27.78,211.0,0.0,0.0,1.07,0.5,126390.59,971261.58,1310.23,1293.29,0,0
27.0,211.0,0.0,0.0,0.0,0.42,122503.81,961619.26,1319.17,1242.66,0,0
27.27,211.0,0.0,0.0,0.0,0.4,121779.52,950669.18,1270.29,1198.62,0,0
28.33,211.0,0.0,0.0,0.19,10.03,134033.66,1016339.87,1267.61,1213.21,0,0
18.59,211.0,0.0,0.0,0.0,8.93,73981.35,420693.47,751.1,984.48,0,0
25.41,211.0,0.0,0.0,0.0,0.7,117008.48,957223.39,1272.55,1284.65,0,0
24.66,211.0,0.0,0.0,0.0,0.4,123030.77,966005.17,1279.29,1169.73,0,0
27.75,211.0,0.0,0.0,0.0,0.41,129295.6,963672.02,1327.98,1199.07,0,0
28.87,216.0,0.0,0.0,0.0,0.4,124554.84,946927.4,1287.07,1232.59,0,0
23.23,221.0,0.0,0.0,0.0,17.26,139942.31,1020341.41,1350.5,1246.01,0,0
26.23,220.0,0.0,0.0,0.0,0.91,108422.17,913238.57,1185.07,1206.33,0,0
32.08,220.0,0.0,0.0,0.0,0.64,129325.26,987147.06,1283.35,1277.14,0,0
25.27,212.0,0.0,0.0,0.0,0.38,125668.02,991225.02,1320.2,1226.7,0,0
